column,title,meta,url,hidden
Medium,AI-2027 and Liberation Day,April 2025,https://medium.com/@seanb/ai-2027-and-liberation-day-4dc97fae5838?source=rss-4fe252eb9cb8------2,
Medium,Sean Blagsvedt’s Favorite AI Videos,May 2023,https://medium.com/@seanb/sean-blagsvedts-favorite-ai-videos-caf69878ac57?source=rss-4fe252eb9cb8------2,
Medium,Why We’re Building Dara.network,July 2022,https://medium.com/daranetworkapp/why-were-building-dara-network-1bd75058de5a?source=rss-4fe252eb9cb8------2,
Medium,Finding Meaning in Video Chat — Why I’ve joined Marco Polo,November 2018,https://medium.com/@seanb/finding-meaning-in-video-chat-why-ive-joined-marco-polo-1589a60d22ac?source=rss-4fe252eb9cb8------2,
Gooey Blog,Gooey-Powered Afiya AI Wins AI for Social Impact Initiative Grand Prize 2026,September 2026,https://blog.gooey.ai/gooey-powered-afiya-ai-wins-ai-for-social-impact-initiative-grand-prize-2026,
Gooey Blog,"A New Navigation Sidebar, A History Page & A Much Faster Gooey",Product Updates August 2026,https://blog.gooey.ai/a-new-navigation-sidebar-a-history-page-and-a-much-faster-gooey,
Gooey Blog,Three New Speech Models & Smarter Chat Widgets,Product Updates July 2026,https://blog.gooey.ai/three-new-speech-models-and-smarter-chat-widgets,
Events & Press,"Asian Voice: ""It's Already Homogenising Us"": Can Artists Push AI to Protect, Not Erase?",Interview · June 2026,https://drive.google.com/file/d/1vhAOJa-vv_5UoDvmmiD0OZRiWj6nLV0r/view?usp=sharing,
Events & Press,Hindustan Times: Advancing India's Creative Economy Through Skill Development,Feature · November 2025,https://drive.google.com/file/d/1YYqw7eLCsNShbwtZI29EoeO-Dwg8UHBQ/view?usp=sharing,
Events & Press,NVIDIA: Building More Builders — Gooey.AI Makes AI More Accessible Across Communities,Podcast · February 2025,https://drive.google.com/file/d/11YbSwT_Agka5PH2mZ2FMceGedm-k_V_G/view?usp=sharing,
